 Lucro Líquido Ajustado,140.5 ,141.9 ,121.0 ,186.2 ,125.6 ,85.2 ,127.3 ,166.1 ,(8.0),(62.2),215.9 ,232.1 ,81.5 ,89.1 ,22.6 ,(79.0),(98.8),(112.1),(146.0),(15.2),(309.4),(198.8),(143.4),101.5 ,29.8 ,37.4 ,70.2 ,139.2 ,11.2 ,,589.6 ,504.2 ,377.8 ,114.2 ,(372.1),(550.1),276.7 
 Margem Líquida Ajustada,3.9%,3.8%,3.3%,4.0%,2.9%,2.0%,2.6%,2.6%,-0.2%,-1.1%,2.6%,2.3%,1.0%,1.0%,0.3%,-0.8%,-1.1%,-1.3%,-1.7%,-0.1%,-3.4%,-2.3%,-1.7%,1.0%,0.3%,0.4%,0.8%,1.3%,0.1%,,3.8%,2.5%,1.3%,0.3%,-1.0%,-1.5%,0.7%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Crescimento nas Vendas Mesmas Lojas Físicas,15.9%,27.1%,16.3%,16.1%,8.1%,0.3%,9.4%,12.6%,-4.5%,-50.9%,7.2%,10.9%,-0.5%,102.2%,-14.6%,-22.8%,-2.8%,-8.2%,-3.6%,13.3%,6.7%,2.1%,2.9%,3.7%,9.0%,15.6%,15.2%,8.1%,7.1%,,18.6%,7.8%,-7.4%,0.2%,0.1%,4.7%,11.7%
 Crescimento nas Vendas Totais Lojas Físicas,21.4%,34.1%,24.0%,24.2%,16.0%,8.8%,19.0%,26.1%,6.7%,-45.1%,18.3%,15.7%,3.7%,111.6%,-8.0%,-18.4%,6.2%,-0.3%,1.4%,14.7%,7.5%,2.7%,2.3%,3.5%,8.0%,14.2%,13.3%,6.4%,6.2%,,25.8%,17.9%,0.6%,5.8%,5.8%,4.0%,10.1%
 Crescimento nas Vendas E-commerce (1P),53.7%,54.8%,43.8%,43.8%,33.3%,30.9%,66.3%,68.6%,47.5%,171.5%,149.5%,119.8%,121.5%,40.1%,6.7%,0.9%,3.2%,-6.8%,3.5%,18.4%,6.4%,2.3%,-4.3%,-7.8%,-2.0%,-1.2%,1.2%,0.5%,-2.6%,,48.4%,51.4%,122.6%,28.4%,4.7%,-1.3%,-0.4%
 Crescimento nas Vendas Marketplace (3P),812.2%,408.9%,219.7%,20481.9%,243.6%,288.6%,300.3%,216.4%,184.8%,214.2%,145.4%,122.9%,98.0%,63.3%,67.3%,60.0%,49.9%,22.0%,0.9%,11.6%,19.4%,15.1%,24.8%,9.9%,6.4%,4.0%,1.4%,2.1%,-1.8%,,271.7%,254.0%,155.7%,68.8%,18.3%,16.8%,3.4%
 Crescimento nas Vendas E-commerce Total,64.6%,66.1%,54.6%,57.4%,50.1%,56.2%,96.0%,92.8%,72.6%,181.9%,148.5%,120.7%,114.4%,46.4%,22.2%,16.9%,16.2%,1.9%,2.6%,15.9%,11.1%,7.0%,5.7%,-1.5%,1.3%,0.9%,1.3%,1.1%,-2.3%,,60.1%,76.0%,130.7%,39.4%,9.2%,5.1%,1.1%
 Participação E-commerce Total nas Vendas Totais,35.3%,33.0%,36.2%,37.7%,41.4%,41.5%,48.3%,48.0%,53.3%,78.5%,66.3%,63.8%,70.3%,71.6%,72.3%,71.6%,72.1%,72.1%,72.5%,71.9%,72.8%,72.9%,73.2%,70.8%,71.5%,70.4%,70.9%,69.8%,69.7%,,35.7%,45.3%,65.6%,71.5%,72.1%,72.3%,70.6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Quantidade de Lojas - Final do Período,857 ,884 ,912 ,953 ,958 ,986 ,"1,038 ","1,112 ","1,156 ","1,156 ","1,237 ","1,301 ","1,310 ","1,339 ","1,413 ","1,481 ","1,477 ","1,429 ","1,430 ","1,339 ","1,302 ","1,303 ","1,303 ","1,286 ","1,263 ","1,246 ","1,245 ","1,245 ","1,245 ",,953 ,"1,112 ","1,301 ","1,481 ","1,339 ","1,286 ","1,245 "
 Área de Vendas - Final do Período (M²),"  526,052 ","  538,753 ","  551,432 ","  572,394 ","  574,797 ","  585,341 ","  612,353 ","  648,227 ","  647,171 ","  647,171 ","  656,189 ","  666,089 ","  670,197 ","  674,815 ","  700,331 ","  723,085 ","  719,086 ","  716,745 ","  717,710 ","  716,707 ","  716,221 ","  716,595 ","  716,595 ","  716,298 ","  701,439 ","  693,120 ","  692,826 ","  686,976 ","  686,871 ",,"  572,394 ","  648,227 ","  666,089 ","  723,085 ","  716,707 ","  716,298 ","  686,976 "
